ID,Name,Lat,Lon,Height
9265,HILLARYS BOAT HARBOUR NTC AWS,-31.83,115.74,0.00
9214,OCEAN REEF,-31.76,115.73,10.00
9053,PEARCE RAAF,-31.67,116.02,40.00
9225,PERTH METRO,-31.92,115.87,24.90
9281,MILLENDON (SWAN VALLEY),-31.81,116.02,15.62
9021,PERTH AIRPORT,-31.93,115.98,15.40
9215,SWANBOURNE,-31.96,115.76,40.96
9193,ROTTNEST ISLAND,-32.01,115.50,43.10
9091,INNER DOLPHIN PYLON,-31.99,115.83,0.00
9240,BICKLEY,-32.01,116.14,384.00
9106,GOSNELLS CITY,-32.05,115.98,10.00
9172,JANDAKOT AERO,-32.10,115.88,30.00
9254,ARMAMENT JETTY,-32.18,115.68,9.00
9255,COLPOYS POINT,-32.23,115.70,3.00
9256,GARDEN ISLAND HSF,-32.24,115.68,6.00
9111,KARNET,-32.44,116.08,286.00
9977,MANDURAH,-32.52,115.71,3.00
